VARS INDEX X_AXIS X_PPM XW HEIGHT CONFIDENCE
FORMAT %5d %9.3f %9.4f %7.3f %+e %4.3f
    1 10875.916    6.9547   7.676 +9.377313e+06 0.985
    2 10892.967    6.9480   8.745 +1.554933e+08 1.000
    3 10934.939    6.9313   7.770 +1.673981e+08 0.999
    4 10924.446    6.9355   7.251 +3.500787e+07 0.997
    5 10903.460    6.9438   7.901 +3.637036e+07 0.974
    6 10950.678    6.9251   8.606 +1.709647e+07 0.956
    7 11888.483    6.5533   6.124 +1.139370e+07 0.997
    8 11904.223    6.5470   7.928 +1.757487e+08 1.000
    9 11914.716    6.5429   7.118 +4.044243e+07 0.995
   10 11947.506    6.5299   6.746 +1.598975e+08 0.998
   11 11937.013    6.5340   6.798 +3.595271e+07 0.979
   12 11963.246    6.5236   8.382 +1.412981e+07 0.987
   13 12335.744    6.3760  12.530 +5.605575e+05 0.793
   14 16351.911    4.7837   5.428 +1.295416e+08 1.000
   15 18274.740    4.0214   8.915 +5.818358e+05 0.994
   16 18214.405    4.0453   9.394 +5.839748e+05 0.959
   17 18240.638    4.0349   7.188 +5.455922e+05 0.957
   18 18247.196    4.0323   8.585 +8.245192e+05 0.777
   19 19899.831    3.3771   7.546 +4.744047e+07 1.000
   20 19936.557    3.3626   5.842 +5.878634e+07 0.999
   21 19927.375    3.3662   8.530 +5.554828e+07 0.985
   22 19962.789    3.3522   7.920 +5.181961e+07 0.982
   23 21250.795    2.8415  11.860 +5.348067e+05 0.921
   24 21278.339    2.8306  11.641 +6.137642e+05 0.907
   25 21402.943    2.7812  10.993 +5.125179e+07 0.999
   26 21307.195    2.8192  10.590 +3.895946e+07 0.998
   27 21333.427    2.8088  10.944 +3.815065e+07 0.998
   28 21376.710    2.7916  10.684 +5.326136e+07 0.997
   29 21482.951    2.7495   9.264 +9.029150e+05 0.998
   30 21517.053    2.7360   9.242 +8.576267e+05 0.975
   31 21789.869    2.6278   9.818 +4.187438e+07 0.999
   32 21720.354    2.6554   9.976 +5.690545e+07 0.999
   33 21826.595    2.6132   9.809 +3.994291e+07 0.995
   34 21757.079    2.6408  10.005 +5.470750e+07 0.963
   35 23742.865    1.8535   4.954 +4.128928e+06 1.000
   36 23787.460    1.8358   6.124 +6.242305e+06 1.000
   37 23765.162    1.8447   7.197 +4.929703e+06 1.000
   38 23799.264    1.8312   6.367 +2.864791e+06 1.000
   39 23832.055    1.8182   5.873 +1.322773e+06 1.000
   40 23809.757    1.8270   6.150 +4.168017e+06 0.999
   41 23775.655    1.8405   5.802 +5.268112e+06 0.990
   42 23821.562    1.8223   6.348 +2.723897e+06 0.980
   43 28539.443   -0.0481   5.413 +1.581972e+06 0.961
   44 28556.494   -0.0549   5.485 +8.185212e+07 0.997
   45 28573.545   -0.0616   5.934 +1.616690e+06 0.842
