DATA  X_AXIS 1H           1  2135   10.999ppm    5.500ppm
DATA  Y_AXIS 15N          1  1090  135.094ppm  105.207ppm
VARS   INDEX X_AXIS Y_AXIS X_PPM Y_PPM XW YW  X1 X3 Y1 Y3 HEIGHT ASS CONFIDENCE POINTER
FORMAT %5d %9.3f %9.3f %10.6f %10.6f %7.3f %7.3f %4d %4d %4d %4d %+e %s %4.2f %3s
   47   364.663    68.174   8.154264 127.221067   4.076   2.247  360  366   64   70 +8.258042e+06 peak 0.98 <--
   48   321.802   200.409   8.489580 111.722522   4.054   2.101  317  323  196  202 +8.254657e+06 peak 0.99 <--
   49   322.791   183.263   8.481841 113.732102   4.427   2.258  318  324  179  185 +8.192052e+06 peak 0.94 <--
   50   344.222    85.085   8.314184 125.239015   3.971   2.512  340  346   81   87 +8.165255e+06 peak 0.99 <--
   51   416.427    36.466   7.749307 130.937414   3.909   2.044  412  418   32   38 +8.047829e+06 peak 0.91 <--
   52   518.305   182.558   6.952289 113.814688   3.062   1.953  514  520  178  184 +8.034647e+06 peak 0.95 <--
   53   267.401   192.658   8.915172 112.630963   3.984   2.168  263  269  188  194 +8.018141e+06 peak 0.99 <--
   54   454.673   206.516   7.450103 111.006781   4.296   2.309  450  456  202  208 +7.962628e+06 peak 0.98 <--
   55   336.639    92.601   8.373509 124.358103   3.812   2.371  332  338   88   94 +7.892363e+06 peak 0.96 <--
   56   371.587   192.893   8.100098 112.603434   4.144   2.388  367  373  188  194 +7.802893e+06 peak 0.96 <--
   57   455.991   198.765   7.439786 111.915222   3.089   2.171  451  457  194  200 +7.684458e+06 peak 0.99 <--
   58   209.373    89.078   9.369137 124.771031   4.341   2.034  205  211   85   91 +7.607478e+06 peak 0.97 <--
   59   293.777   176.217   8.708824 114.557957   4.178   2.338  289  295  172  178 +7.580295e+06 peak 0.99 <--
   60   334.001   118.438   8.394144 121.329968   3.592   2.493  330  336  114  120 +7.575733e+06 peak 0.88 <--
   61   558.200   182.324   6.640188 113.842216   3.673   2.857  554  560  178  184 +7.555342e+06 peak 0.99 <--
   62   267.401   111.391   8.915172 122.155823   4.197   2.163  263  269  107  113 +7.542917e+06 peak 0.95 <--
   63   356.421   106.459   8.218748 122.733922   4.479   2.225  352  358  102  108 +7.532540e+06 peak 0.99 <--
   64   432.582   182.558   7.622919 113.814688   2.971   2.045  428  434  178  184 +7.509510e+06 peak 0.92 <--
   65   259.818   115.854   8.974497 121.632782   4.147   2.434  255  261  111  117 +7.222056e+06 peak 0.91 <--
   66   357.080   184.672   8.213589 113.566931   4.307   2.138  353  359  180  186 +7.184358e+06 peak 0.98 <--
   67   420.383   198.765   7.718355 111.915222   3.731   2.688  416  422  194  200 +6.876319e+06 peak 0.99 <--
   68   553.584   196.181   6.676299 112.218035   3.185   2.299  549  555  192  198 +6.785218e+06 peak 0.99 <--
   69   285.534    65.356   8.773308 127.551409   4.099   2.283  281  287   61   67 +6.719933e+06 peak 0.99 <--
   70   322.132    54.552   8.487000 128.817720   4.675   2.379  318  324   50   56 +6.490499e+06 peak 0.95 <--
   71   296.415   103.406   8.688189 123.091792   4.147   2.327  292  298   99  105 +6.468936e+06 peak 0.92 <--
   72   421.043   216.146   7.713196 109.878113   4.082   2.333  417  423  212  218 +6.461369e+06 peak 0.90 <--
   73   242.673   117.968   9.108623 121.385025   4.258   2.119  238  244  113  119 +6.382028e+06 peak 0.94 <--
   74   526.218   203.932   6.890385 111.309595   5.316   2.662  522  528  199  205 +6.193523e+06 peak 0.91 <--
   75   187.942    61.363   9.536794 128.019393   4.397   2.431  183  189   57   63 +6.087083e+06 peak 0.98 <--
   76   474.455   108.808   7.295342 122.458637   3.914   2.618  470  476  104  110 +5.983385e+06 peak 0.97 <--
